Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
57.122.298,False,False,True,228225,,European Sculpture and Decorative Arts,1957.0,Sampler,Sampler,British,,,,,,,,,,,,,,,,,,1818,1818,1818,Silk on linen,confirmed: 17 1/4 × 14 7/8 in. (43.8 × 37.8 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/228225,,,"Metropolitan Museum of Art, New York, NY",Lions|Birds,http://vocab.getty.edu/page/aat/300310388|http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q140|https://www.wikidata.org/wiki/Q5113
57.122.299,False,False,True,228226,,European Sculpture and Decorative Arts,1957.0,Sampler,Embroidered map sampler,British,,,,,,,,,,,,,,,,,,19th century,1800,1899,Silk and chenille on silk and linen,H. 21 1/4 x W. 17 1/8 inches (54 x 43.5 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/228226,,,"Metropolitan Museum of Art, New York, NY",Maps,http://vocab.getty.edu/page/aat/300028094,https://www.wikidata.org/wiki/Q4006
57.122.301,False,False,True,228228,,European Sculpture and Decorative Arts,1957.0,Sampler,Sampler,British,,,,,,,,,,,,,,,,,,19th century,1800,1899,Silk on wool canvas,H. 8 1/2 x W. 6 3/8 inches (21.6 x 16.2 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/228228,,,"Metropolitan Museum of Art, New York, NY",Angels,http://vocab.getty.edu/page/aat/300379004,https://www.wikidata.org/wiki/Q235113
57.122.303,False,False,True,228230,,European Sculpture and Decorative Arts,1957.0,Sampler,Sampler,British,,,,,,,,,,,,,,,,,,1798,1798,1798,Silk on wool canvas,13 1/4 in. × 13 in. (33.7 × 33 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/228230,,,"Metropolitan Museum of Art, New York, NY",Human Figures|Birds|Trees,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q10884
57.122.304,False,False,True,228231,,European Sculpture and Decorative Arts,1957.0,Sampler,Sampler,British,,,,,,,,,,,,,,,,,,1777,1777,1777,Silk on wool ,H. 15 5/8 x W. 13 3/8 inches (39.7 x 34 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/228231,,,"Metropolitan Museum of Art, New York, NY",Animals|Birds,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q5113
57.122.306,False,False,True,228233,,European Sculpture and Decorative Arts,1957.0,Sampler,Sampler,British,,,,,,,,,,,,,,,,,,1808,1808,1808,"Silk, metal thread, paper, hair and mica on wool canvas",H. 14 1/4 x W. 17 1/4 inches (36.2 x 43.8 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/228233,,,"Metropolitan Museum of Art, New York, NY",Birds|Men|Women|Peacocks|Children,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300250082|http://vocab.getty.edu/page/aat/300025945,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q201251|https://www.wikidata.org/wiki/Q7569
57.122.308,False,False,True,228235,,European Sculpture and Decorative Arts,1957.0,Sampler,Sampler,British,,,,,,,,,,,,,,,,,,1839,1839,1839,Silk on wool ,H. 12 3/4 x W. 13 3/4 inches (32.4 x 34.9 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/228235,,,"Metropolitan Museum of Art, New York, NY",Birds|Flowers|Boats|Insects,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300310470,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q1390
57.122.311,False,False,True,228238,,European Sculpture and Decorative Arts,1957.0,Sampler,Embroidered map sampler,British,,,,,,,,,,,,,,,,,,1795,1795,1795,Silk on cotton ,19 3/8 × 24 1/2 in. (49.2 × 62.2 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/228238,,,"Metropolitan Museum of Art, New York, NY",Maps,http://vocab.getty.edu/page/aat/300028094,https://www.wikidata.org/wiki/Q4006
57.122.312,False,False,True,228239,,European Sculpture and Decorative Arts,1957.0,Sampler,Embroidered darning sampler,British,,,,,,,,,,,,,,,,,,1807,1807,1807,Silk on linen,Overall (confirmed): 16 3/4 x 17 1/2 in. (42.5 x 44.5 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/228239,,,"Metropolitan Museum of Art, New York, NY",,,
57.122.313,False,False,True,228240,,European Sculpture and Decorative Arts,1957.0,Sampler,Embroidered map sampler,British,,,,,,,,,,,,,,,,,,19th century,1800,1899,Wool and silk on cotton canvas,H. 12 1/2 x W. 17 3/8 inches (31.8 x 44.1 cm),"From the Collection of Mrs. Lathrop Colgate Harper, Bequest of Mabel Herbert Harper, 1957",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/228240,,,"Metropolitan Museum of Art, New York, NY",Maps,http://vocab.getty.edu/page/aat/300028094,https://www.wikidata.org/wiki/Q4006
