Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
51.171.181,False,False,False,769,774,The American Wing,1951.0,Bowl,Bowl,,,,,,,,,,,,,,,,,,,19th century,1800,1900,Lacy pressed glass,H. 10 7/16 in. (26.5 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/769,https://www.wikidata.org/wiki/Q116390347,,"Metropolitan Museum of Art, New York, NY",,,
51.171.188,False,False,True,770,774,The American Wing,1951.0,Bowl,Bowl,American or British,,,,,,,,,,,,,,,,,,ca. 1850,1847,1850,Lacy pressed glass,H. 3 3/4 in. (9.5 cm); Diam. 5 5/8 in. (14.3 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",Possibly made in|Possibly made in,,,,United States|England,,,,,,,,,http://www.metmuseum.org/art/collection/search/770,https://www.wikidata.org/wiki/Q116372968,,"Metropolitan Museum of Art, New York, NY",,,
51.171.189,False,False,True,771,774,The American Wing,1951.0,Bowl,Bowl,American or British,,,,,,,,,,,,,,,,,,ca. 1850,1847,1850,Lacy pressed glass,H. 3 3/4 in. (9.5 cm); Diam. 5 5/8 in. (14.3 cm),"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",Possibly made in|Possibly made in,,,,United States|England,,,,,,,,,http://www.metmuseum.org/art/collection/search/771,https://www.wikidata.org/wiki/Q116372955,,"Metropolitan Museum of Art, New York, NY",,,
68.21,False,False,False,772,706,The American Wing,1968.0,Bowl,Bowl,American,,,,,,,,,,,,,,,,,,1895–1910,1895,1910,Blown and cut glass,H. 5 in. (12.7 cm); Diam. 12 15/16 in. (32.9 cm),"Gift of John C. Cattus, 1968",Made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/772,https://www.wikidata.org/wiki/Q116390349,,"Metropolitan Museum of Art, New York, NY",,,
1971.180.1,False,False,True,773,774,The American Wing,1971.0,Bowl,Bowl,,,,,,,,,,,,,,,,,,,ca. 1820,1817,1820,Burlwood,Diam. 11 1/2 in. (29.2 cm),"Bequest of Flora E. Whiting, 1971",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/773,https://www.wikidata.org/wiki/Q116372914,,"Metropolitan Museum of Art, New York, NY",,,
1971.180.143,False,False,False,774,774,The American Wing,1971.0,Bowl,Bowl,Chinese,,,,,,,,,,,,,,,,,,1800–1900,1800,1900,Porcelain,H. 3 1/4 in. (8.3 cm); Diam. 7 13/16 in. (19.8 cm),"Bequest of Flora E. Whiting, 1971",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/774,https://www.wikidata.org/wiki/Q116390350,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
1971.180.144,False,False,False,775,774,The American Wing,1971.0,Bowl,Bowl,Chinese,,,,,,,,,,,,,,,,,,1800–1900,1800,1900,Porcelain,H. 4 5/16 in. (11 cm); Diam. 11 5/16 in. (28.7 cm),"Bequest of Flora E. Whiting, 1971",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/775,https://www.wikidata.org/wiki/Q116390351,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
1971.180.145,False,False,True,776,774,The American Wing,1971.0,Bowl,Bowl,Chinese,,,,,,,,,,,,,,,,,,1736–95,1736,1795,Porcelain,H. 3 in. (7.6 cm); Diam. 6 1/8 in. (15.6 cm),"Bequest of Flora E. Whiting, 1971",Made in,,,,China,,,,,,,,,http://www.metmuseum.org/art/collection/search/776,https://www.wikidata.org/wiki/Q116372911,,"Metropolitan Museum of Art, New York, NY",Fish|Flowers,http://vocab.getty.edu/page/aat/300266085|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q152|https://www.wikidata.org/wiki/Q506
"1980.502.4a, b",False,False,False,777,774,The American Wing,1980.0,Bowl,Bowl,American,,,,,,,,,,,,,,,,,,1800–1900,1800,1900,Free-blown glass,H. 3 1/2 in. (8.9 cm); Diam. 4 1/2 in. (11.4 cm),"Gift of Henry G. Schiff, 1980",Possibly made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/777,https://www.wikidata.org/wiki/Q116390354,,"Metropolitan Museum of Art, New York, NY",,,
X.407,False,False,False,778,774,The American Wing,,Bowl,Dough Bowl,American,,,,,,,,,,,,,,,,,,19th century,1800,1900,Tulip poplar,3 3/8 x 9 3/4 x 19 1/4 in. (8.6 x 24.8 x 48.9 cm),Museum Accession,,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/778,https://www.wikidata.org/wiki/Q116390355,,"Metropolitan Museum of Art, New York, NY",,,
