Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
36.25.1559,False,False,False,31010,,Arms and Armor,1936.0,Sword,Sword,Sri Lankan,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,Steel,L. 36 3/4 in. (93.3 cm); W. 4 in. (10.2 cm); Wt. 1 lb. 12.2 oz. (799.5 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31010,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1560a, b",False,False,False,31011,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Sri Lankan,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,,H. with scabbard 16 1/4 in. (41.3 cm); H. without scabbard 15 3/16 in. (38.6 cm); W. 2 13/16 in. (7.1 cm); Wt. 15.4 oz. (436.6 g); Wt. of scabbard 2.4 oz. (68 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31011,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1561a, b",False,False,False,31012,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Indian,,,,,,,,,,,,,,,,,,19th century,1800,1901,"Steel, gold, velvet, wood",L. without scabbard 37 in. (94 cm); W. 4 in. (10.2 cm); Wt. 1 lb. 13.4 oz. (833.5 g); Wt. of scabbard 1 lb. 0.3 oz. (462.1 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31012,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1562a, b",False,False,False,31013,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Indian,,,,,,,,,,,,,,,,,,19th century,1801,1900,"Steel, silver, leather, velvet",H. with scabbard 33 1/2 in. (85.1 cm); H. without scabbard 33 1/4 in. (84.5 cm); W. 5 7/8 in. (14.9 cm); Wt. 7 lb. 15.5 oz. (3614.6 g); Wt. of scabbard 8.7 oz. (246.6 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31013,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1563a, b",False,False,False,31014,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Indian,,,,,,,,,,,,,,,,,,18th century,1701,1800,"Steel, silver, textile (velvet), wood, gold",H. with scabbard 28 1/2 in. (72.4 cm); H. without scabbard 28 1/2 in. (72.4 cm); W. 3 3/8 in. (8.6 cm); Wt. 2 lb. 5.3 oz. (1057.4 g); Wt. of scabbard 2.3 oz. (65.2 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31014,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1564,False,False,True,31015,,Arms and Armor,1936.0,Gauntlet sword (pata),Gauntlet Sword (Pata),Indian,,,,,,,,,,,,,,,,,,19th century,1801,1900,"Steel, brass",L. 46 1/2 in. (118.1 cm); W. 4 in. (10.2 cm); D. 3 5/16 in. (8.4 cm); Wt. 2 lb. 7.3 oz. (1114.3 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31015,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1565,False,False,False,31016,,Arms and Armor,1936.0,Gauntlet sword (Pata),Gauntlet Sword (Pata),"hilt, Indian; blade, European",,,,,,,,,,,,,,,,,,late 17th century,1650,1700,"Steel, silver",L. 50 1/2 in. (128.3 cm); W. 4 1/2 in. (11.4 cm); D. 4 in. (10.2 cm); Wt. 4 lb. (1814.4 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31016,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1566a, b",False,False,False,31017,,Arms and Armor,1936.0,Gauntlet sword (Pata) with scabbard,Gauntlet Sword (Pata) with Scabbard,"Indian, South Indian",,,,,,,,,,,,,,,,,,18th century,1701,1800,"Steel, silver, wood, textile",L. with scabbard 51 1/4 in. (130.2 cm); L. without scabbard 47 in. (119.4 cm); W. 4 3/4 in. (12.1 cm); D. 3 in. (7.6 cm); Wt. 2 lb. 5.3 oz. (1057.4 g); Wt. of scabbard 3.2 oz. (90.7 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31017,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1567,False,False,False,31018,,Arms and Armor,1936.0,Gauntlet sword (Pata),Gauntlet Sword (Pata),Central Indian,,,,,,,,,,,,,,,,,,17th–18th century,1601,1800,Steel,L. 51 1/4 in. (130.2 cm); L. of blade 39 in. (99.1 cm); W. 4 1/2 in. (11.4 cm); D. 4 in. (10.2 cm); Wt. 2 lb. 14.3 oz. (1312.6 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31018,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1568,False,False,True,31019,,Arms and Armor,1936.0,Sword,Sword,"Indian, South Indian",,,,,,,,,,,,,,,,,,17th century,1601,1700,Iron,L. 39 1/2 in. (100.3 cm); W. 6 1/2 in. (16.5 cm); D. 2 3/4 in. (7 cm); Wt. 1 lb. 11.4 oz. (776.8 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31019,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1569a, b",False,False,False,31020,,Arms and Armor,1936.0,Sword cane with scabbard,Sword Cane with Scabbard,Indian,,,,,,,,,,,,,,,,,,19th century,1801,1900,"Steel, gold",L. with scabbard 36 1/2 in. (92.7 cm); L. without scabbard 18 in. (45.7 cm); L. of blade 12 3/8 in. (31.4 cm); W. 3 in. (7.6 cm); Wt. 8.8 oz. (249.5 g); Wt. of scabbard 11.9 oz. (337.4 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31020,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1570a, b",False,False,False,31021,,Arms and Armor,1936.0,Sword cane with scabbard,Sword Cane with Scabbard,Indian,,,,,,,,,,,,,,,,,,19th century,1801,1900,"Steel, silver, gold, leather, pigment",L. with scabbard 36 in. (91.4 cm); L. without scabbard 34 1/2 in. (87.6 cm); W. 4 1/2 in. (11.4 cm); Wt. 1 lb. 4.9 oz. (592.5 g); Wt. of scabbard 6.4 oz. (181.4 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31021,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1571a, b",False,False,False,31022,,Arms and Armor,1936.0,Sword cane,Sword Cane,Sri Lankan,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,,L. with scabbard 41 1/4 in. (104.8 cm); L. without scabbard 28 9/16 in. (72.5 cm); W. 1 1/4 in. (3.2 cm); Wt. 13.4 oz. (379.9 g); Wt. of scabbard 17.1 oz. (484.8 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31022,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1572,False,False,True,31023,,Arms and Armor,1936.0,Sword (Ayda katti),Sword (Ayda Katti),"Indian, Coorg",,,,,,,,,,,,,,,,,,19th century,1801,1900,"Steel, brass, horn (stag)",L. 13 1/8 in. (33.3 cm); W. 1 in. (2.5 cm); Wt. 1 lb. 5.3 oz. (603.8 g),"Bequest of George C. Stone, 1935",,,,Karnataka,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31023,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1573,False,False,True,31024,,Arms and Armor,1936.0,Sword (shamshir),Sword (Shamshir),Indian,,,,,,,,,,,,,,,,,,A.H. 1125/ 1713 CE,1713,1713,"Steel, iron, gold",H. 29 1/8 in. (74 cm); W. 3 7/8 in. (9.8 cm); D. 2 1/4 in. (5.7 cm); Wt. 1 lb. 13 oz. (822.1 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31024,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1574a, b",False,False,False,31025,,Arms and Armor,1936.0,Sword (ayda katti) and belt with todunga,Sword (Ayda Katti) and Belt with Todunga,"Indian, Coorg",,,,,,,,,,,,,,,,,,19th century,1801,1900,"Steel, wood, silver, brass, textile",L. 20 in. (50.8 cm); W. 8 in. (20.3 cm); Wt. 2 lb. 4.8 oz. (1043.3 g); Wt. of belt with todunga 2 lb. 5.6 oz. (1066 g),"Bequest of George C. Stone, 1935",,,,Karnataka,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31025,,,"Metropolitan Museum of Art, New York, NY",,,
"36.25.1575a, b",False,False,False,31026,,Arms and Armor,1936.0,Sword with scabbard,Sword with Scabbard,Persian,,,,,,,,,,,,,,,,,,18th century,1701,1800,"Steel, ivory, gold, wood, leather, silver, textile",H. with scabbard 38 7/8 in. (98.7 cm); H. without scabbard 38 in. (96.5 cm); W. 5 in. (12.7 cm); Wt. 2 lb. 10.6 oz. (1207.7 g); Wt. of scabbard 9.8 oz. (277.8 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31026,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1576,False,False,False,31027,,Arms and Armor,1936.0,Sword,Sword,Indian,,,,,,,,,,,,,,,,,,18th century,1701,1800,"Steel, iron, gold",H. 28 5/8 in. (72.7 cm); W. 4 in. (10.2 cm); Wt. 1 lb. 12 oz. (793.8 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31027,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1577,False,False,False,31028,,Arms and Armor,1936.0,Sword,Sword,Indian,,,,,,,,,,,,,,,,,,17th century,1601,1700,"Steel, wood",H. 32 5/8 in. (82.9 cm); W. 4 1/2 in. (11.4 cm); Wt. 3 lb. 4.3 oz. (1482.7 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31028,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1578,False,False,False,31029,,Arms and Armor,1936.0,Sword,Sword,Indian,,,,,,,,,,,,,,,,,,18th–19th century,1701,1900,Steel,H. 32 in. (81.3 cm); W. 3 1/4 in. (8.3 cm); Wt. 2 lb. 4.4 oz. (1031.9 g),"Bequest of George C. Stone, 1935",,,,,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31029,,,"Metropolitan Museum of Art, New York, NY",,,
36.25.1579,False,False,True,31030,,Arms and Armor,1936.0,Sword (arivāl),Sword (Arivāl),South Indian,,,,,,,,,,,,,,,,,,possibly 16th century,1475,1625,Steel,H. 31 5/16 in. (79.5 cm); W. 3 1/16 in. (7.8 cm); D. 2 3/4 in. (7 cm); Wt. 2 lb. 2.4 oz. (975.2 g),"Bequest of George C. Stone, 1935",,,,Kerala,,,,,,,,Swords,,http://www.metmuseum.org/art/collection/search/31030,,,"Metropolitan Museum of Art, New York, NY",,,
